Date,GRA Purchases,PRGT 1/2/,Totals,Year,Total_billion,World_GDP,Normalised_totals,totals_as%ofGDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/2022,93769635059,15254184552,109023819611,2022,109.0238196,8.66529E+13,0.001258167,0.125816666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021,89474552025,14554823681,104029375706,2021,104.0293757,8.66529E+13,0.001200529,0.120052932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2020,93408630285,12481816684,105890446969,2020,105.890447,8.46707E+13,0.001250614,0.125061429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2019,66945509865,6590835450,73536345315,2019,73.53634532,8.25131E+13,0.000891208,0.089120784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2018,55395611392,6426181029,61821792421,2018,61.82179242,8.1901E+13,0.000754836,0.075483579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2017,39585385873,6522280669,46107666542,2017,46.10766654,7.98952E+13,0.000577102,0.057710153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2016,49267630851,6482647937,55750278788,2016,55.75027879,7.72835E+13,0.000721374,0.072137404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2015,50757840741,6575911158,57333751899,2015,57.3337519,7.51793E+13,0.000762627,0.076262718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2014,69041563463,6292755583,75334319046,2014,75.33431905,7.29322E+13,0.001032937,0.103293658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2013,83899249061,6174392682,90073641743,2013,90.07364174,7.07695E+13,0.001272774,0.127277447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2012,90042348252,5766292503,95808640755,2012,95.80864076,6.88287E+13,0.001391987,0.139198748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2011,87276915790,5308609594,92585525384,2011,92.58552538,6.70145E+13,0.001381575,0.138157503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2010,55620104510,4819344134,60439448644,2010,60.43944864,6.48604E+13,0.000931838,0.093183834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2009,37221142436,5079705286,42300847722,2009,42.30084772,6.2882E+13,0.000672703,0.067270251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2008,17514964723,3972372030,21487336753,2008,21.48733675,6.20482E+13,0.0003463,0.034630048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2007,6036146757,3796945581,9833092338,2007,9.833092338,6.16089E+13,0.000159605,0.015960514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2006,9822640239,3844020520,13666660759,2006,13.66666076,5.89686E+13,0.000231762,0.023176164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2005,28432143237,6282121668,34714264905,2005,34.71426491,5.64421E+13,0.000615042,0.061504175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2004,55373766674,6766029353,62139796027,2004,62.13979603,5.42488E+13,0.00114546,0.114545994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2003,65032062712,6880893268,71912955980,2003,71.91295598,5.19159E+13,0.001385182,0.138518174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2002,63601058794,6868671012,70469729806,2002,70.46972981,5.03301E+13,0.001400151,0.140015146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2001,53477225409,6424578684,59901804093,2001,59.90180409,4.91846E+13,0.001217897,0.121789723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2000,42990531049,6331595468,49322126517,2000,49.32212652,4.82217E+13,0.00102282,0.102282012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1999,51061861875,6434274362,57496136237,1999,57.49613624,4.61508E+13,0.001245832,0.124583241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1998,60451017051,6288825925,66739842976,1998,66.73984298,4.45801E+13,0.001497076,0.149707647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1997,46559033783,6009867422,52568901205,1997,52.56890121,4.33683E+13,0.001212151,0.121215093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1996,36127472805,5881609752,42009082557,1996,42.00908256,4.17385E+13,0.001006482,0.100648198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1995,35929173412,5657438528,41586611940,1995,41.58661194,4.02801E+13,0.001032436,0.103243577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,25611676952,4599768498,30211445450,1994,30.21144545,3.90724E+13,0.000773216,0.077321647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,25196745031,3942792899,29139537930,1993,29.13953793,3.78218E+13,0.000770442,0.077044224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,23967172718,3804463796,27771636514,1992,27.77163651,3.71501E+13,0.000747552,0.074755234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,23378573926,3285717796,26664291722,1991,26.66429172,3.63966E+13,0.000732603,0.073260299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,20731851093,2571911617,23303762710,1990,23.30376271,3.58728E+13,0.000649622,0.064962205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1989,22315104224,2334886562,24649990786,1989,24.64999079,3.48726E+13,0.000706858,0.070685837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1988,24750004884,1773964293,26523969177,1988,26.52396918,3.3611E+13,0.000789146,0.078914599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1987,28751979125,1866342930,30618322055,1987,30.61832206,3.21205E+13,0.000953232,0.095323212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1986,33334905644,2013169931,35348075575,1986,35.34807558,3.09651E+13,0.001141547,0.11415469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1985,35194787249,2470247948,37665035197,1985,37.6650352,2.99342E+13,0.00125826,0.125825983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1984,34936772393,2769874900,37706647293,1984,37.70664729,2.88663E+13,0.001306251,0.130625099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.88663E+13,2.99342E+13,3.09651E+13,3.21205E+13,3.3611E+13,3.48726E+13,3.58728E+13,3.63966E+13,3.71501E+13,3.78218E+13,3.90724E+13,4.02801E+13,4.17385E+13,4.33683E+13,4.45801E+13,4.61508E+13,4.82217E+13,4.91846E+13,5.03301E+13,5.19159E+13,5.42488E+13,5.64421E+13,5.89686E+13,6.16089E+13,6.2882E+13,6.20482E+13,6.48604E+13,6.70145E+13,6.88287E+13,7.07695E+13,7.29322E+13,7.51793E+13,7.72835E+13,7.98952E+13,8.25131E+13,8.46707E+13,8.1901E+13,8.66529E+13
