Country,Average_happiness,Democratic_quality 
Albania,4.74,?0.19
Algeria,5.91,?0.97
Angola,4.46,?0.82
Argentina,6.27,0.19
Armenia,4.21,?0.47
Australia,7.42,1.12
Austria,7.12,1.22
Azerbaijan,4.8,?1.09
Bangladesh,4.31,?0.98
Belarus,5.66,?0.84
Belgium,7.39,1.09
Benin,3.52,0.33
Bolivia,5.36,?0.43
Bosnia & H.,5.06,?0.16
Botswana,4.63,0.9
Brazil,6.51,0.15
Bulgaria,3.77,0.51
Burkina F.,3.8,?0.18
Burma/My.,5.32,?1.51
Burundi,4.38,?1.22
Cambodia,3.63,?0.64
Cameroon,3.92,?0.64
Canada,7.4,1.21
Chad,3.44,?1.64
Chile,6.24,0.84
China,4.77,?1.02
Colombia,5.95,?0.95
Costa Rica,7.04,0.9
Croatia,5.77,0.49
Cuba,5.45,?0.90
Cyprus,6.19,0.8
Czech R.,6.42,0.92
Denmark,8,1.23
Dom. R.,5.13,0.14
Ecuador,5.1,?0.62
Egypt,5.23,?1.10
El Salvador,5.6,?0.04
Estonia,5.36,0.92
Ethiopia,3.83,?1.45
Finland,7.61,1.51
France,7.01,0.91
Georgia,3.62,?0.53
Germany,6.58,1.16
Ghana,4.86,0.36
Greece,6.35,0.75
Guatemala,6.01,?0.5
Haiti,3.76,?1.16
Honduras,5.34,?0.37
Hong Kong,5.67,0.89
Hungary,5.23,0.96
India,5.97,?0.27
Indonesia,4.98,?0.73
Iran,5.29,?1.43
Ireland,7.24,1.24
Israel,7.16,?0.23
Italy,6.97,0.75
Jamaica,6.21,0.18
Japan,6.49,0.99
Jordan,6.3,?0.63
Kazakhstan,5.49,?0.49
Kenya,4.36,?0.57
Korea. R.,5.68,0.5
Kuwait,6.03,?0.02
Kyrgyzstan,4.58,?1.00
Laos,5.11,?0.82
Latvia,4.73,0.86
Lebanon,5.51,?1.18
Lithuania,5.93,0.91
Macedonia,4.51,?0.26
Madagascar,4.01,0
Malawi,4.13,?0.15
Malaysia,6.08,?0.11
Mali,4.01,0.14
Mauritania,5.2,?0.44
Mexico,6.74,?0.22
Moldova. R.,4.93,?0.48
Montenegro,5.22,?0.13
Morocco,4.59,?0.47
Mozambique,4.61,0.23
Nepal,4.55,?1.61
The Netherlands,7.56,1.17
New Zealand,7.44,1.4
Nicaragua,4.8,?0.28
Niger,3.8,?0.33
Nigeria,4.73,?1.27
Norway,7.46,1.36
Pakistan,6.12,?1.50
Panama,6.2,0.31
Paraguay,4.86,?0.50
Peru,4.93,?0.46
Philippines,4.73,?0.72
Poland,5.85,0.56
Portugal,5.43,1.08
Puerto Rico,6.62,1.01
Romania,5.28,0.33
Russian F.,5,?0.89
Rwanda,4.34,?0.89
Saudi Arabia,7.06,?1.16
Senegal,4.58,?0.10
Serbia,4.62,?0.28
Sierra L.,3.88,?0.45
Singapore,6.56,0.46
Slovak R.,5.16,0.89
Slovenia,5.93,1.08
South Africa,5.37,0.41
Spain,7.13,0.59
Sri Lanka,4.34,?0.95
Sweden,7.38,1.3
Switzerland,7.45,1.5
Taiwan,6.3,0.64
Tajikistan,4.57,?1.34
Tanzania,4.04,?0.15
Thailand,5.96,?0.77
Togo,3.24,?1.01
Trinidad Tob.,5.78,0.22
Turkey,4.67,?0.39
Uganda,4.04,?0.88
Ukraine,4.88,?0.12
United Arab Emirates,6.72,?0.10
United Kingdom,6.97,1
United States,7.26,0.75
Uruguay,5.6,0.88
Uzbekistan,5.22,?1.81
Venezuela,7.17,?0.83
Vietnam,5.33,?0.58
Yemen,4.55,?1.19
Zambia,4.92,?0.01
Zimbabwe,3.76,?1.28
