country,lifeexpectancy,happiness2020
Afghanistan,62.879,2.523
Albania,76.833,4.883
Algeria,77.129,5.005
Argentina,76.064,5.929
Armenia,73.372,4.677
Australia,83.579,7.223
Austria,82.412,7.294
Azerbaijan,73.488,5.165
Bahrain,79.246,6.647
Bangladesh,73.698,5.025
Belarus,73.246,5.54
Belgium,82.293,6.864
Benin,59.954,5.045
Bolivia,64.928,5.716
Bosnia and Herzegovina,75.293,5.674
Botswana,65.913,3.467
Brazil,73.425,6.33
Bulgaria,71.528,5.102
Burkina Faso,59.766,4.834
Burundi,61.977,3.775
Cambodia,69.896,4.848
Cameroon,60.958,5.142
Canada,82.847,7.232
Chad,52.997,4.355
Chile,79.519,6.172
China,78.587,5.124
Colombia,73.659,6.012
Comoros,63.68,4.289
Costa Rica,77.32,7.069
Croatia,79.236,5.505
Cyprus,81.889,6.223
Czech Republic,78.129,6.911
Denmark,81.882,7.646
Dominican Republic,74.17,5.689
Ecuador,77.894,5.764
Egypt,70.159,4.283
El Salvador,71.475,6.061
Estonia,79.155,6.022
Eswatini,56.36,4.308
Ethiopia,65.645,4.275
Finland,82.351,7.809
France,83.229,6.664
Gabon,65.694,4.852
Gambia,62.906,5.051
Georgia,71.587,4.673
Germany,80.989,7.076
Ghana,63.945,5.088
Greece,80.614,5.515
Guatemala,68.674,6.435
Guinea,58.985,4.984
Haiti,63.728,3.721
Honduras,70.728,5.919
Hong Kong,84.315,5.51
Hungary,74.958,6
Iceland,82.815,7.504
India,67.744,3.819
Indonesia,68.25,5.286
Iran,74.556,4.721
Iraq,71.336,4.854
Ireland,82.716,7.129
Israel,82.601,7.157
Italy,84.057,6.387
Ivory Coast,58.916,5.306
Jamaica,70.629,5.89
Japan,84.82,5.871
Jordan,74.215,4.395
Kazakhstan,69.489,6.058
Kenya,62.055,4.607
Kuwait,80.264,6.106
Kyrgyzstan,70.484,5.744
Laos,68.999,4.889
Latvia,75.927,5.95
Lebanon,74.416,4.584
Lesotho,53.036,3.512
Liberia,61.1,4.625
Libya,72.151,5.489
Lithuania,74.293,6.215
Luxembourg,82.591,7.238
Madagascar,65.23,4.208
Malawi,62.898,3.6
Malaysia,76.26,5.384
Maldives,80.839,5.198
Mali,59.417,4.723
Malta,83.704,6.773
Mauritania,64.691,4.227
Mauritius,73.975,6.049
Mexico,74.832,6.317
Moldova,68.621,5.608
Mongolia,72.667,5.456
Montenegro,76.845,5.546
Morocco,74.973,5.095
Mozambique,59.625,4.794
Myanmar,67.256,4.308
Namibia,58.059,4.574
Nepal,70.484,5.269
Netherlands,82.451,7.449
New Zealand,83.006,7.3
Nicaragua,74.615,5.972
Niger,62.08,5.074
Nigeria,53.633,4.759
North Macedonia,73.888,5.16
Norway,83.393,7.488
Pakistan,66.431,4.934
Panama,76.826,6.18
Paraguay,70.475,5.653
Peru,73.385,5.84
Philippines,72.187,6.006
Poland,76.996,6.186
Portugal,82.24,5.911
Republic of the Congo,63.053,5.342
Romania,74.117,6.124
Russia,70.116,5.546
Rwanda,67.129,3.415
Saudi Arabia,77.905,6.494
Senegal,67.913,5.132
Serbia,74.137,5.778
Sierra Leone,60.411,3.849
Singapore,84.133,6.377
Slovakia,75.33,6.281
Slovenia,82.133,6.363
South Africa,61.48,4.956
South Korea,84.024,5.872
Spain,83.912,6.401
Sri Lanka,76.61,4.325
Sweden,83.505,7.353
Switzerland,84.255,7.56
Taiwan,81.267,6.455
Tajikistan,71.288,5.466
Tanzania,66.782,3.623
Thailand,79.68,5.999
Togo,61.588,4.107
Tunisia,74.263,4.392
Turkey,78.475,4.948
Turkmenistan,69.41,5.066
Uganda,63.638,4.636
Ukraine,68.564,4.561
United Arab Emirates,79.196,6.561
United Kingdom,82.156,7.165
Uruguay,78,6.431
Uzbekistan,71.674,6.179
Venezuela,71.105,4.892
Vietnam,74.58,5.353
Yemen,63.72,3.658
Zambia,61.803,4.073
Zimbabwe,59.391,3.145
